[0.000000] (-) TimerEvent: {}
[0.000254] (-) JobUnselected: {'identifier': 'botcmd_msgs'}
[0.000282] (-) JobUnselected: {'identifier': 'ca_description'}
[0.000300] (-) JobUnselected: {'identifier': 'ca_driver'}
[0.000316] (-) JobUnselected: {'identifier': 'ca_msgs'}
[0.000331] (-) JobUnselected: {'identifier': 'ca_tools'}
[0.000345] (-) JobUnselected: {'identifier': 'car_db_manager_action'}
[0.000360] (-) JobUnselected: {'identifier': 'car_db_manager_bridge'}
[0.000373] (-) JobUnselected: {'identifier': 'car_db_manager_msgs'}
[0.000387] (-) JobUnselected: {'identifier': 'car_db_manager_qtgui'}
[0.000400] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.000414] (-) JobUnselected: {'identifier': 'create_autonomy'}
[0.000428] (-) JobUnselected: {'identifier': 'dlux_global_planner'}
[0.000441] (-) JobUnselected: {'identifier': 'dlux_plugins'}
[0.000455] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.000468] (-) JobUnselected: {'identifier': 'dwb_local_planner'}
[0.000482] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.000496] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.000509] (-) JobUnselected: {'identifier': 'global_planner_tests'}
[0.000523] (-) JobUnselected: {'identifier': 'i_robot_navigation'}
[0.000536] (-) JobUnselected: {'identifier': 'i_robot_stage'}
[0.000550] (-) JobUnselected: {'identifier': 'libcreate'}
[0.000566] (-) JobUnselected: {'identifier': 'locomotor'}
[0.000580] (-) JobUnselected: {'identifier': 'locomotor_msgs'}
[0.000594] (-) JobUnselected: {'identifier': 'locomove_base'}
[0.000607] (-) JobUnselected: {'identifier': 'mongodb_log'}
[0.000621] (-) JobUnselected: {'identifier': 'mongodb_store'}
[0.000634] (-) JobUnselected: {'identifier': 'mongodb_store_msgs'}
[0.000648] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.000661] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.000674] (-) JobUnselected: {'identifier': 'nav_core2'}
[0.000687] (-) JobUnselected: {'identifier': 'nav_core_adapter'}
[0.000701] (-) JobUnselected: {'identifier': 'nav_grid'}
[0.000714] (-) JobUnselected: {'identifier': 'nav_grid_iterators'}
[0.000727] (-) JobUnselected: {'identifier': 'nav_grid_pub_sub'}
[0.000741] (-) JobUnselected: {'identifier': 'omron_os32c_driver'}
[0.000754] (-) JobUnselected: {'identifier': 'open_auto_dock'}
[0.000767] (-) JobUnselected: {'identifier': 'open_auto_dock_msgs'}
[0.000781] (-) JobUnselected: {'identifier': 'pnp_msgs'}
[0.000794] (-) JobUnselected: {'identifier': 'pnp_ros'}
[0.000807] (-) JobUnselected: {'identifier': 'pnp_rosplan'}
[0.000821] (-) JobUnselected: {'identifier': 'razor_imu_9dof'}
[0.000834] (-) JobUnselected: {'identifier': 'reset_location'}
[0.000847] (-) JobUnselected: {'identifier': 'robot_control_msgs'}
[0.000860] (-) JobUnselected: {'identifier': 'robot_database_bridge'}
[0.000874] (-) JobUnselected: {'identifier': 'robot_localization'}
[0.000887] (-) JobUnselected: {'identifier': 'robot_navigation'}
[0.000900] (-) JobUnselected: {'identifier': 'robot_scheduling_actions'}
[0.000914] (-) JobUnselected: {'identifier': 'robot_scheduling_msgs'}
[0.000927] (-) JobUnselected: {'identifier': 'robot_scheduling_server'}
[0.000941] (-) JobUnselected: {'identifier': 'robot_udp_bridge'}
[0.000954] (-) JobUnselected: {'identifier': 'ros_utility_tools'}
[0.000967] (-) JobUnselected: {'identifier': 'rp_action'}
[0.000980] (-) JobUnselected: {'identifier': 'rp_action_msgs'}
[0.000993] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.001008] (-) JobUnselected: {'identifier': 'samsungcmd_msgs'}
[0.001022] (-) JobUnselected: {'identifier': 'spatio_temporal_voxel_layer'}
[0.001035] (-) JobUnselected: {'identifier': 'stated_roslaunch'}
[0.001049] (-) JobUnselected: {'identifier': 'teb2_local_planner'}
[0.001062] (-) JobUnselected: {'identifier': 'timed_roslaunch'}
[0.001075] (-) JobUnselected: {'identifier': 'tug_example_actions'}
[0.001089] (-) JobUnselected: {'identifier': 'tug_example_msgs'}
[0.001102] (-) JobUnselected: {'identifier': 'tug_example_pnp_server'}
[0.001116] (-) JobUnselected: {'identifier': 'turtlebot_teleop'}
[0.001129] (-) JobUnselected: {'identifier': 'yocs_cmd_vel_mux'}
[0.001148] (-) EventReactorShutdown: {}
